Litros/hora,PPM,%Aire,PD [cm H2O],PF [cm H2O]
0,0,10,0.3,0.4
0,0,20,0.3,1.1
0,0,30,1.7,2.2
0,0,40,2.5,3.5
0,0,50,3.9,5.4
0,0,60,5.3,7.3
0,0,70,6.9,9.8
0,0,80,9.2,12.8
5,25.29965157,10,0.4,0.5
5,25.29965157,20,0.4,1.4
5,25.29965157,30,2.1,2.6
5,25.29965157,40,2.9,4.3
5,25.29965157,50,5.1,6.7
5,25.29965157,60,7.7,9.8
5,25.29965157,70,10.9,14
5,25.29965157,80,17,26.2
7,39.2369338,10,0.4,1.6
7,39.2369338,20,1.3,1.5
7,39.2369338,30,2.5,3
7,39.2369338,40,3.8,5.1
7,39.2369338,50,6.6,8
7,39.2369338,60,10.1,11.8
7,39.2369338,70,14.1,18.7
7,39.2369338,80,39.3,53
9,53.17421603,10,0.6,0.9
9,53.17421603,20,1.9,2.4
9,53.17421603,30,4,4.6
9,53.17421603,40,6.6,7.8
9,53.17421603,50,8.5,10.1
9,53.17421603,60,13,15.6
9,53.17421603,70,21.1,35
9,53.17421603,80,50.7,65.5
12,74.08013937,10,0.9,1
12,74.08013937,20,2.2,2.5
12,74.08013937,30,4.6,5.1
12,74.08013937,40,7.8,9.1
12,74.08013937,50,10.1,11.4
12,74.08013937,60,15.5,17.9
12,74.08013937,70,59.7,62.9
15,94.98606272,10,1.1,1.3
15,94.98606272,20,4.5,3.8
15,94.98606272,30,6.5,7
15,94.98606272,40,8.5,9.3
15,94.98606272,50,12.7,14.1
15,94.98606272,60,37.4,40.8
15,94.98606272,70,56.5,62.5
